ID,Number of days with 0 activities,Average Activities Per Session,Total Number of Logins,Time Test #1 A,Time Test #1 B,Time Test #2 Part #1 A,Time Test #2 Part #1 B,Time Test #2 Part #2 A,Time Test #2 Part #2 B,Time Test #3 A,Time Test #3 B,Time Test #4 A,Time Test #4 B,Time Test #5 A,Time Test #5 B,Time Test #6 A,Time Test #6 B,Time Test #7 A,Time Test #7 B,Average time taking tests in minutes,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Final A Time,Number of late ASR,Number of ASRs,Number of Test B,Number of optinal assignments,Online meetings attended,Procedures Quiz,Surveys,CyberRat Assignments,days between test 1 available and submission,days between test 2 available and submission,days between test 3 available and submission,days between test 4 available and submission,days between test 5 available and submission,days between test 6 available and submission,days between test 7 available and submission,Average number of activites accessed before each test,ASR1,ASR2a,ASR2b,ASR2c,ASR3,ASR4,ASR5,ASR6,ASR7a,ASR7b, Num_of_activities of Study Guide Materials, G1, G2, G3, G4, G5, G6, G7, Number of Studying Supplemental Material Activities, Number of Reviewed Activity,Overall Grade,Above Average?
63,16,13,183,45.36666667,63.1,1391.216667,65.81666667,33.23333333,21.05,1391.25,60.58333333,62.95,-,73.28333333,-,54.45,54.08333333,66.86666667,-,260.25,2,3,0,4,4,4,2,2,2,3,0,4,4,4,2,2,81,1,10,7,0,16,2,3,23,3,2,2,3,3,3,3,152,4,6,6,6,6,18,11,9,8,8,60,11,16,20,0,8,5,0,4,67,841.86,N
64,38,6.539325843,95,18.53333333,-,29.8,-,18.35,13.85,34.28333333,-,31.43333333,-,20.3,-,10.36666667,-,22.11666667,-,22.11481481,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,10,1,0,0,3,6,21,3,3,3,3,3,3,3,80,2,6,10,15,11,15,8,10,9,9,75,3,20,15,18,10,4,5,14,46,911.74,Y
65,37,8.808988764,103,56.81666667,52.4,87.73333333,75.45,48.6,33.1,89.48333333,60.55,67.01666667,-,57.96666667,57.48333333,13.45,-,46.76666667,-,57.4474359,3,11,0,4,0,5,4,0,3,11,0,4,0,5,4,0,76,1,10,5,0,16,3,5,11,2,3,1,2,2,3,2,103,14,9,9,18,11,18,11,11,11,11,73,2,24,9,11,5,8,14,30,62,879.47,N
66,36,10.64044944,122,36.75,-,37.03333333,-,28.08333333,-,1390.383333,-,35.05,-,27.51666667,-,13.6,-,35.6,-,200.5020833,9,6,5,8,6,4,4,4,9,6,5,8,6,4,4,4,0,5,10,8,0,6,2,6,0,1,2,1,3,4,2,2,125,6,11,11,18,11,18,11,11,10,10,64,3,17,7,16,5,7,9,5,33,824.86,N
67,38,7.337078652,94,18.35,13.7,28.6,31.93333333,15.71666667,-,26.55,26.13333333,30.65,44.78333333,23.46666667,31.43333333,24.11666667,-,25.13333333,-,26.1974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,10,0,0,4,2,3,11,2,4,3,4,4,4,4,91,2,4,4,12,4,11,5,5,5,5,12,4,3,1,1,3,0,0,23,50,1008.17,Y
68,16,15.76404494,194,40.35,32.73333333,39.63333333,26.15,31.38333333,21.81666667,33.31666667,-,27.9,-,21.53333333,-,15.88333333,-,29.6,46.11666667,30.53472222,2,0,3,2,2,2,2,1,2,0,3,2,2,2,2,1,93,1,10,8,0,0,2,7,2,1,1,1,0,0,0,0,152,8,2,5,11,4,12,6,6,6,6,77,1,22,5,28,11,2,8,54,56,901.44,Y
69,31,7.449438202,88,29.1,17.08333333,40.83333333,-,32.88333333,-,49.25,29.1,51.2,49.13333333,29.61666667,31.86666667,18.96666667,-,28.28333333,-,33.94305556,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,2,53,0,10,6,0,10,2,3,1,2,4,4,4,4,4,2,86,8,4,8,14,8,16,9,4,5,8,113,0,33,13,32,11,6,18,41,51,1013.72,Y
70,20,13.5505618,198,22.26666667,-,33.96666667,-,14.73333333,15.33333333,23.83333333,27.96666667,43.78333333,38.28333333,26.9,1414.983333,19.56666667,17.8,35.68333333,31.08333333,126.1559524,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,73,1,10,1,0,8,2,10,88,1,0,2,2,1,1,3,161,13,8,10,16,10,4,10,10,9,9,101,1,28,12,26,9,9,16,6,38,953.25,Y
71,38,9.112359551,99,28.28333333,17.93333333,50.26666667,30.51666667,44.1,23.3,58.85,53.53333333,64.43333333,44.66666667,53,43.48333333,21.1,14.53333333,61.86666667,24.86666667,39.67083333,3,3,2,2,3,4,3,0,3,3,2,2,3,4,3,0,80,1,10,7,0,0,5,4,0,3,3,2,3,3,3,3,101,11,7,7,14,7,9,9,7,6,7,140,10,30,18,32,19,13,18,43,47,945.15,Y
72,48,7.213483146,106,16.56666667,18.13333333,31.73333333,23.58333333,17.16666667,-,31.5,23.08333333,31.28333333,28.45,14.43333333,18.28333333,9.1,9.15,21.46666667,28.63333333,21.50444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,10,0,0,3,2,3,6,2,3,4,4,4,2,2,83,13,5,9,12,9,16,9,9,9,9,64,2,17,6,17,7,5,10,17,30,991.33,Y
73,22,12.13483146,182,81.56666667,-,93.51666667,-,93.26666667,-,97.73333333,105.4,84.78333333,-,48.96666667,-,31.95,-,98.61666667,-,81.75555556,4,0,10,23,19,17,11,0,4,0,10,23,19,17,11,0,0,4,10,6,0,7,5,8,1,1,2,2,1,3,3,3,131,3,4,4,8,2,12,4,10,4,4,63,5,10,8,16,7,4,13,15,52,826.76,N
74,31,11.16853933,119,25.26666667,19.6,34.65,34.16666667,24.96666667,-,25.4,21.95,25.7,-,13.85,1430.766667,10.13333333,12.55,24.71666667,-,131.0551282,3,4,4,4,4,4,0,0,3,4,4,4,4,4,0,0,0,1,10,6,0,4,1,7,3,2,3,4,4,4,4,4,122,9,5,5,16,8,16,10,9,9,9,116,9,30,13,18,12,10,24,54,52,912.25,Y
75,47,8,90,-,51.1,-,41.1,-,28.88333333,-,45.83333333,-,66.38333333,20.36666667,54.78333333,21.71666667,9.766666667,31.96666667,31.58333333,36.68030303,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,142,1,10,2,0,6,2,5,6,-22,6,8,6,4,4,4,91,5,4,9,16,8,17,10,11,11,11,55,1,14,8,13,6,4,9,33,35,953.5,Y
76,51,5.393258427,83,38.26666667,-,48.88333333,-,44.51666667,-,54.58333333,-,46.2,-,23.6,-,12.65,-,26.98333333,-,36.96041667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,1,10,8,0,12,3,6,0,0,1,1,1,0,1,2,70,3,2,2,9,2,2,3,1,2,2,65,5,20,3,10,12,7,8,171,105,993.09,Y
77,42,5.595505618,90,17.1,17.33333333,30.08333333,19.86666667,10.78333333,21.5,21.11666667,1419.033333,16.78333333,19.18333333,21.86666667,18.26666667,8.7,4.8,20.41666667,13.15,104.9989583,10,6,11,11,11,0,0,0,10,6,11,11,11,0,0,0,0,5,6,5,0,6,3,3,0,2,0,1,2,2,2,1,70,11,7,9,18,11,18,11,11,8,5,73,4,18,9,17,7,6,12,15,42,395.06,N
78,22,10.42696629,143,11.38333333,8.366666667,18.1,1423.1,10.45,-,16,-,16.33333333,16.11666667,10.81666667,14.85,5.616666667,4.266666667,15.93333333,15.78333333,113.3654762,60,53,4,39,25,0,11,0,60,53,4,39,25,0,11,0,89,1,10,6,0,5,2,3,21,0,0,0,0,0,0,2,121,8,7,7,14,8,5,7,6,6,6,84,10,21,9,19,9,6,10,64,61,830.81,N
79,45,8.988764045,130,9,-,16.21666667,-,19.1,-,42.01666667,20.75,15.38333333,-,18.56666667,-,9.766666667,10.26666667,14.13333333,1417.283333,144.7712121,2,3,3,3,3,2,1,2,2,3,3,3,3,2,1,2,59,1,10,8,0,0,2,6,7,3,3,3,4,4,4,4,108,6,10,10,17,10,17,11,11,11,11,103,4,29,12,15,13,13,17,39,43,933.79,Y
80,33,5.831460674,90,16.15,-,20.65,-,13.86666667,-,30.2,21.86666667,18.68333333,-,13.33333333,-,6.5,-,14.13333333,-,17.26481481,3,4,4,4,4,0,4,4,3,4,4,4,4,0,4,4,111,1,10,7,0,0,3,4,0,2,2,2,2,3,1,1,73,2,9,9,16,8,17,9,9,8,8,81,8,14,16,19,8,10,6,21,65,876.44,N
81,22,11.78651685,188,28.11666667,18.41666667,33.23333333,29.1,14.68333333,9.716666667,42.28333333,26.45,25.06666667,31.66666667,19.8,37.3,7.2,5.416666667,26.63333333,-,23.67222222,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,56,1,10,1,0,0,4,7,9,3,3,2,3,3,3,3,141,12,5,8,13,10,17,11,6,9,9,58,5,19,6,10,6,6,6,2,42,875.98,N
82,32,8.303370787,94,25.38333333,-,32.16666667,-,22.9,-,34.53333333,-,34.4,-,23.21666667,-,26.56666667,-,26.78333333,-,28.24375,1,3,3,4,4,4,3,0,1,3,3,4,4,4,3,0,79,1,10,8,0,0,3,2,3,3,3,3,3,3,3,3,68,9,6,6,13,6,6,3,6,6,6,128,9,27,24,20,16,9,23,46,38,731.44,N
83,28,9.921348315,126,18.6,12.68333333,30.93333333,-,-,15.21666667,-,43.86666667,-,1375.616667,-,51.2,-,14.53333333,21.5,-,176.0166667,4,1,1,3,3,4,1,2,4,1,1,3,3,4,1,2,68,1,10,8,0,5,2,4,10,4,4,-5,18,17,11,4,111,7,6,5,14,9,12,11,11,11,11,156,3,40,36,31,11,15,20,15,57,927.1,Y
84,46,6.629213483,76,35.81666667,19.63333333,27.5,25.9,15.63333333,10.55,23.75,21,34.83333333,27.75,21.61666667,24.95,8.816666667,-,19.48333333,-,22.65952381,0,3,0,3,3,3,0,3,0,3,0,3,3,3,0,3,77,1,10,5,0,7,2,2,0,3,3,4,3,4,4,4,67,16,13,13,19,15,11,11,11,11,11,82,4,23,11,18,13,4,9,33,50,947.16,Y
85,33,8.97752809,121,43.58333333,25.51666667,57.95,21.96666667,32.5,-,41.86666667,-,42.66666667,-,26.15,-,18.16666667,-,30.53333333,-,34.09,4,8,11,11,11,10,0,0,4,8,11,11,11,10,0,0,0,3,7,6,0,1,2,6,0,2,1,4,2,3,3,1,103,6,2,3,9,1,11,3,1,5,5,50,2,15,4,13,5,3,8,4,26,524.45,N
86,40,6.786516854,93,8.3,6.716666667,16.76666667,14.95,8.733333333,6.766666667,14.8,12.8,15.26666667,15.58333333,11.25,11.7,6.766666667,3.85,14.46666667,14.45,11.44791667,1,1,3,2,3,5,1,4,1,1,3,2,3,5,1,4,128,1,10,8,0,12,3,3,0,0,1,0,0,0,0,0,78,7,4,6,12,5,14,9,5,8,8,54,1,17,7,11,5,7,6,1,32,895.22,N
87,53,4.988764045,107,-,27.93333333,-,51.83333333,-,26.26666667,-,52.9,-,63.4,-,-,-,-,-,-,44.46666667,3,0,0,0,0,4,0,4,3,0,0,0,0,4,0,4,57,1,10,3,0,3,7,8,1,-21,6,11,11,0,0,0,35,7,4,5,11,3,12,5,4,1,2,105,4,21,20,25,15,9,11,29,37,993.19,Y
88,60,5.157303371,66,26.41666667,0.2,51.01666667,0.233333333,28.9,18.53333333,-,0.6,35.83333333,0.283333333,26.83333333,-,23.9,0.15,26.98333333,-,18.4525641,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,70,1,10,7,0,0,4,3,1,3,4,11,4,4,4,3,58,6,10,10,17,10,17,11,11,11,11,103,4,29,12,15,13,13,17,39,43,914.25,Y
89,42,7.191011236,86,18.8,17.1,22.63333333,16.05,9.916666667,18.6,22.15,16.51666667,30.23333333,16.83333333,14.5,20.85,6.416666667,5.483333333,11.65,20.86666667,16.7875,4,4,4,4,0,1,0,0,4,4,4,4,0,1,0,0,78,1,10,5,0,5,7,6,12,2,1,2,1,2,0,1,80,12,4,8,15,9,16,10,8,8,8,83,1,20,10,18,11,11,12,5,27,938.39,Y
90,49,6.674157303,86,-,11.31666667,-,1403.183333,16.83333333,-,-,1414.816667,-,68.08333333,-,21.93333333,-,12.63333333,-,1424.333333,546.6416667,0,8,3,0,4,0,0,1,0,8,3,0,4,0,0,1,0,1,10,4,0,4,4,4,0,5,7,-10,13,13,6,4,43,6,5,5,10,5,8,5,4,5,5,48,10,17,8,8,2,2,1,86,91,976.58,Y
91,27,11.29213483,156,25.73333333,52.78333333,70.15,52.6,32.21666667,20.5,51.3,47.65,52.63333333,36.01666667,38.03333333,-,14.88333333,14.86666667,35.55,60.1,40.33444444,3,9,0,4,0,3,0,3,3,9,0,4,0,3,0,3,132,1,10,5,0,4,2,5,6,3,4,4,3,3,4,3,128,9,9,9,15,8,14,10,9,6,6,108,2,33,10,21,9,9,24,35,68,944.73,Y
92,60,4.426966292,52,14.36666667,-,17.71666667,-,15.08333333,-,21.75,-,20.1,22.13333333,13.18333333,-,7.55,-,15,-,16.32037037,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,159,1,10,2,0,0,2,2,1,1,2,3,2,4,2,2,59,12,8,8,16,8,16,9,9,9,9,27,1,6,2,10,1,4,3,29,61,881.01,N
93,42,7.752808989,90,19.51666667,25.46666667,30.33333333,34,16.48333333,23.1,19.78333333,28.9,25.11666667,19.01666667,15.85,19.58333333,13.21666667,7.233333333,20.83333333,29.75,21.76145833,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,147,1,10,1,0,3,3,4,6,1,3,3,3,3,2,0,91,12,7,11,22,26,32,24,9,11,11,114,4,32,16,19,19,15,9,24,57,1031.82,Y
94,42,7.06741573,83,21.73333333,1426.3,33.28333333,23.66666667,25.96666667,26,46.1,24.33333333,33.11666667,1399.833333,27.36666667,35.86666667,11.3,10.06666667,18.5,31.01666667,199.653125,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,59,1,10,8,0,1,2,4,0,1,1,3,2,4,1,1,84,13,9,9,17,11,17,11,11,11,11,28,6,4,6,3,3,2,4,17,61,839.78,N
95,33,8.550561798,115,26.95,-,44.88333333,25.73333333,18.65,-,41.78333333,22.63333333,24.58333333,26.01666667,22.41666667,17.1,11.7,-,22.58333333,22.03333333,25.15897436,3,4,3,4,4,4,3,0,3,4,3,4,4,4,3,0,0,1,10,7,0,0,2,7,9,3,3,3,3,3,3,3,102,7,4,7,8,9,15,8,10,8,8,87,4,24,6,20,14,7,12,29,42,918.24,Y
96,41,11.05617978,97,20.26666667,79.68333333,-,159.7166667,-,67.11666667,-,165.0166667,-,99.45,-,153.5666667,-,-,-,-,106.402381,0,4,0,2,0,0,0,4,0,4,0,2,0,0,0,4,166,1,10,3,0,9,2,8,22,3,8,10,11,10,0,0,129,9,4,5,6,7,7,5,5,5,5,55,2,16,8,13,8,5,3,4,44,958.07,Y
97,47,7.91011236,83,21.03333333,24.7,43.96666667,28.71666667,35.96666667,28.41666667,29.3,47.31666667,30.36666667,35.63333333,27.56666667,22.63333333,14.03333333,6.75,38.58333333,66.18333333,31.32291667,4,4,3,4,7,7,6,4,4,4,3,4,7,7,6,4,144,3,10,8,0,2,2,6,2,1,1,2,2,3,1,4,84,20,13,13,13,18,25,,,,,76,0,23,14,27,12,0,0,2,17,811.71,N
98,31,7.123595506,108,16.08333333,11.48333333,27.75,-,13.85,-,24.33333333,-,16.48333333,-,19.23333333,1416.9,12.08333333,-,21.18333333,15.36666667,144.9772727,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,46,0,10,8,0,4,2,3,1,1,2,0,3,3,2,1,83,3,10,11,18,32,18,11,9,10,10,6,4,0,0,2,0,0,0,14,46,978.77,Y
99,33,8.224719101,109,19.23333333,20.65,43.11666667,-,28.7,18.73333333,44.53333333,33.61666667,50.16666667,47.23333333,33.5,36.15,14.51666667,7.65,32.81666667,42.6,31.54777778,2,0,0,3,4,0,2,4,2,0,0,3,4,0,2,4,108,1,10,5,0,0,2,5,5,4,4,4,4,4,4,4,99,11,2,8,14,9,9,9,7,8,8,41,4,11,2,9,5,3,7,16,46,903.85,Y
100,37,6.943820225,92,21.28333333,16.2,31.45,28.75,16.85,12.25,31.33333333,32.9,30.5,-,19.55,26.11666667,16.65,-,31.38333333,-,24.2474359,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,5,2,4,0,4,4,3,3,1,1,4,84,12,10,14,18,21,27,14,13,11,11,59,4,22,10,4,9,3,7,6,30,128.88,N
101,33,6.966292135,108,20.66666667,9.733333333,23.01666667,19.71666667,14.06666667,-,36.2,-,30.31666667,-,15.61666667,-,7.033333333,-,22.21666667,17.76666667,19.66818182,0,0,1,0,0,1,2,0,0,0,1,0,0,1,2,0,61,0,10,8,0,13,2,3,0,0,1,3,0,0,0,2,79,11,5,8,13,8,15,5,5,9,9,26,5,4,1,6,1,5,4,25,47,1010.99,Y
102,55,5.876404494,61,20.81666667,-,-,25.33333333,19.05,13.96666667,31.3,-,25.1,33.16666667,20.7,-,12.33333333,-,22.68333333,11.65,21.46363636,3,4,0,0,4,4,4,4,3,4,0,0,4,4,4,4,75,1,10,6,0,8,2,4,3,1,8,1,4,1,1,1,64,3,4,4,15,8,14,8,5,6,7,120,7,33,17,29,10,10,14,34,66,915.34,Y
103,30,8.573033708,115,17.71666667,10.16666667,31.21666667,22.31666667,15.51666667,-,40.85,30.61666667,34.75,-,18.36666667,22.33333333,11.31666667,-,27.68333333,20.11666667,23.30512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,10,0,0,0,3,4,12,1,3,4,3,3,3,3,100,8,4,5,12,5,11,5,5,5,5,46,2,10,5,14,6,4,5,0,26,972.05,Y
104,40,10.31460674,128,42.43333333,47.75,45.08333333,-,26.21666667,-,61.36666667,-,57.03333333,64.65,31.46666667,-,27.33333333,-,45.03333333,-,44.83666667,1,3,4,4,3,8,3,4,1,3,4,4,3,8,3,4,166,0,10,8,0,3,4,5,2,3,4,4,4,4,4,4,115,6,5,6,12,10,16,9,5,4,4,73,3,23,6,21,5,7,8,5,38,782.88,N
105,32,9.415730337,110,24.88333333,-,37.6,-,24.86666667,-,41.16666667,-,69.51666667,-,29.81666667,35.95,20.5,-,32.96666667,-,35.25185185,9,6,0,12,0,9,6,0,9,6,0,12,0,9,6,0,96,2,10,5,0,2,2,3,3,0,0,1,0,0,0,1,107,7,5,8,14,10,16,11,8,8,8,105,3,31,12,20,11,10,18,2,40,904.83,Y
106,27,7.056179775,101,11.31666667,42.45,32.85,23.33333333,22.21666667,9.4,28.76666667,22.26666667,21.2,15.05,30.68333333,29.8,10.45,6.5,18.6,32.73333333,22.35104167,1,1,0,2,1,0,0,0,1,1,0,2,1,0,0,0,127,1,10,8,0,3,1,2,0,2,3,3,3,4,4,3,67,1,8,8,12,6,13,7,5,4,9,81,3,22,11,12,9,8,16,25,37,978.27,Y
107,47,7.966292135,87,20.08333333,15.5,37.65,23.31666667,17.51666667,18.9,36.26666667,29.15,30.08333333,35.93333333,26.16666667,30.98333333,8.7,6.5,34.86666667,-,24.77444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,10,0,0,4,2,5,9,3,4,4,4,4,3,3,95,4,10,10,24,17,25,17,,,,70,13,31,8,10,8,0,0,77,49,1010.28,Y
108,13,15.96629213,205,88.8,-,95.35,70.33333333,59.75,-,85.16666667,104,98.43333333,-,53.93333333,-,34.85,-,55.45,70.46666667,74.23030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,9,1,2,1,2,3,1,3,179,8,7,7,15,9,3,10,8,9,11,68,3,20,7,13,9,8,8,18,52,49,N
109,37,9.426966292,164,27.28333333,53.06666667,58.86666667,39.33333333,46.95,45.11666667,68.88333333,47.55,-,71.28333333,-,57.73333333,-,20.76666667,54.28333333,32.5,47.97051282,4,0,5,5,5,0,0,0,4,0,5,5,5,0,0,0,0,1,10,4,0,2,3,5,0,4,4,4,7,7,6,4,112,8,4,5,13,5,15,5,9,6,6,75,2,22,12,15,7,9,8,2,27,808.58,N
110,49,8.04494382,94,9.833333333,7.166666667,19.51666667,12.38333333,16.28333333,8.233333333,20.33333333,17.73333333,14.53333333,20.93333333,10.38333333,14.33333333,4.55,6.066666667,18.3,19.66666667,13.765625,2,0,2,3,0,0,1,0,2,0,2,3,0,0,1,0,165,1,10,4,0,2,2,5,6,0,0,1,0,0,0,0,89,9,5,10,13,11,15,5,11,7,11,109,7,21,11,24,12,16,18,20,31,926.89,Y
111,53,7.820224719,72,36.08333333,26.45,50.58333333,-,30.88333333,-,30.76666667,48.2,40.73333333,48.1,29.98333333,-,14.98333333,16,58.53333333,31.68333333,35.61410256,2,3,2,2,2,1,0,1,2,3,2,2,2,1,0,1,79,1,10,8,0,1,3,4,3,1,1,3,3,3,2,4,65,14,5,11,18,10,17,5,8,11,11,82,4,20,6,24,12,6,10,9,41,955.32,Y
